[2023-12-24T18:19:17.904Z] [INFO] Method: GET | URL: /api/products/?id=%27ZYW8890%22 | Request Body: 
[2023-12-24T18:24:02.699Z] [INFO] Method: GET | URL: /api/products/?id=%27ZYW8890%22 | Request Body: 
[2023-12-24T18:24:02.745Z] [INFO] Method: GET | URL: /api/products/?id=%27ZYW8890%22 | Request Body: 
[2023-12-24T18:24:31.476Z] [INFO] Method: GET | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: 
[2023-12-24T18:24:31.518Z] [INFO] Method: GET | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: 
[2023-12-24T18:26:10.170Z] [INFO] Method: GET | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: 
[2023-12-24T18:26:10.196Z] [INFO] Method: GET | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: 
[2023-12-24T18:30:54.493Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:30:54.496Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:31:28.187Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:31:28.188Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:34:53.199Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:34:53.205Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:37:20.562Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:37:20.582Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:40:28.017Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:40:28.020Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:41:13.490Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:41:13.496Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:43:17.912Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:43:17.914Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:43:32.237Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:43:32.238Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:43:38.992Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:43:38.992Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:44:28.235Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:44:28.262Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:44:47.894Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:44:47.895Z] [INFO] Method: POST | URL: /api/products/?idd=%27ZYW8890%22 | Request Body: undefined
[2023-12-24T18:45:48.162Z] [INFO] Method: POST | URL: /api/products/?idd=3215 | Request Body: undefined
[2023-12-24T18:45:48.165Z] [INFO] Method: POST | URL: /api/products/?idd=3215 | Request Body: undefined
[2023-12-24T18:46:02.916Z] [INFO] Method: GET | URL: /api/products/?idd=3215 | Request Body: 
[2023-12-24T18:46:02.930Z] [INFO] Method: GET | URL: /api/products/?idd=3215 | Request Body: 
[2023-12-24T19:14:56.114Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:14:56.126Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:14:56.186Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:14:56.189Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:14:56.221Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:14:56.233Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:17:34.740Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:17:34.845Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:17:34.926Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:17:34.954Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:17:34.995Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:17:35.006Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:21:02.954Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:21:02.992Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:21:03.057Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:21:03.055Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:21:03.077Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:21:03.082Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:42:22.117Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:42:22.119Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:42:27.112Z] [INFO] Method: GET | URL: /api/products | Request Body: 
